service_date,day_type,bus,rail_boardings,total_rides
2021-10-03,U,209009,188875,397884
2021-10-04,W,453108,297717,750825
2021-10-05,W,469691,317319,787010
2021-10-06,W,474666,317494,792160
2021-10-07,W,447936,323569,771505
2021-10-08,W,461163,348740,809903
2021-10-09,A,301635,281790,583425
2021-10-10,U,194232,312750,506982
2021-10-11,W,335704,269043,604747
2021-10-12,W,469702,337547,807249
2021-10-13,W,456836,323735,780571
2021-10-14,W,466987,336464,803451
2021-10-15,W,456194,338278,794472
2021-10-16,A,301890,266017,567907
2021-10-17,U,219929,196386,416315
2021-10-18,W,447658,303246,750904
2021-10-19,W,467179,323286,790465
2021-10-20,W,470815,323794,794609
2021-10-21,W,449160,330258,779418
2021-10-22,W,446072,328904,774976
2021-10-23,A,288871,244421,533292
2021-10-24,U,171424,144992,316416
2021-10-25,W,384314,270031,654345
2021-10-26,W,476997,320974,797971
2021-10-27,W,475784,327121,802905
2021-10-28,W,447442,328865,776307
2021-10-29,W,407815,307878,715693
2021-10-30,A,280283,244786,525069
2021-10-31,U,203393,183268,386661
2021-11-01,W,452937,300996,753933
2021-11-02,W,463908,319122,783030
2021-11-03,W,481029,327770,808799
2021-11-04,W,463508,333562,797070
2021-11-05,W,403870,312819,716689
2021-11-06,A,279147,235533,514680
2021-11-07,U,211114,177817,388931
2021-11-08,W,458387,305403,763790
2021-11-09,W,465479,324645,790124
2021-11-10,W,474682,332506,807188
2021-11-11,W,349696,286823,636519
2021-11-12,W,381722,302454,684176
2021-11-13,A,263401,221836,485237
2021-11-14,U,191694,153282,344976
2021-11-15,W,427781,292876,720657
2021-11-16,W,463846,321135,784981
2021-11-17,W,436216,311717,747933
2021-11-18,W,413008,315161,728169
2021-11-19,W,443247,337202,780449
2021-11-20,A,271655,276136,547791
2021-11-21,U,214017,179537,393554
2021-11-22,W,428156,288075,716231
2021-11-23,W,437577,300261,737838
2021-11-24,W,359261,257882,617143
2021-11-25,U,136680,103108,239788
2021-11-26,W,257700,189694,447394
2021-11-27,A,237839,187065,424904
2021-11-28,U,184817,147830,332647
2021-11-29,W,421322,276090,697412
2021-11-30,W,450230,302349,752579
2021-12-01,W,464613,309075,773688
2021-12-02,W,466625,323958,790583
2021-12-03,W,460247,320326,780573
2021-12-04,A,282720,237153,519873
2021-12-05,U,175680,150682,326362
2021-12-06,W,419783,278439,698222
2021-12-07,W,412108,287065,699173
2021-12-08,W,440298,300242,740540
2021-12-09,W,441609,310636,752245
2021-12-10,W,425279,297443,722722
2021-12-11,A,253954,221509,475463
2021-12-12,U,200373,165296,365669
2021-12-13,W,425654,272016,697670
2021-12-14,W,443484,293750,737234
2021-12-15,W,441500,299691,741191
2021-12-16,W,424823,297427,722250
2021-12-17,W,405415,282060,687475
2021-12-18,A,243767,196349,440116
2021-12-19,U,193554,150673,344227
2021-12-20,W,346355,235596,581951
2021-12-21,W,343757,224928,568685
2021-12-22,W,314359,209334,523693
2021-12-23,W,311895,192858,504753
2021-12-24,U,215369,118922,334291
2021-12-25,A,101622,63575,165197
2021-12-26,U,160349,106278,266627
2021-12-27,W,276748,170801,447549
2021-12-28,W,267102,174336,441438
2021-12-29,W,294413,191745,486158
2021-12-30,W,295024,194851,489875
2021-12-31,U,227449,163183,390632
2022-01-01,A,115581,116473,232054
2022-01-02,U,141100,114070,255170
2022-01-03,W,308893,184727,493620
2022-01-04,W,343163,202963,546126
2022-01-05,W,261752,177105,438857
2022-01-06,W,256983,175465,432448
2022-01-07,W,246042,172216,418258
2022-01-08,A,190569,133844,324413
2022-01-09,U,139413,102330,241743
2022-01-10,W,273785,175964,449749
2022-01-11,W,299534,190644,490178
2022-01-12,W,364308,214250,578558
2022-01-13,W,364235,218508,582743
2022-01-14,W,355305,224098,579403
2022-01-15,A,201975,153357,355332
2022-01-16,U,157849,117493,275342
2022-01-17,W,247901,160202,408103
2022-01-18,W,394532,239770,634302
2022-01-19,W,373531,235997,609528
2022-01-20,W,343001,227670,570671
2022-01-21,W,360918,227754,588672
2022-01-22,A,213615,153452,367067
2022-01-23,U,149802,112997,262799
2022-01-24,W,352311,235351,587662
2022-01-25,W,352155,234112,586267
2022-01-26,W,313683,215518,529201
2022-01-27,W,388880,254620,643500
2022-01-28,W,310477,229809,540286
2022-01-29,A,216590,160644,377234
2022-01-30,U,163483,115445,278928
2022-01-31,W,405219,253283,658502
2022-02-01,W,438309,273732,712041
2022-02-02,W,252363,189573,441936
2022-02-03,W,342011,232018,574029
2022-02-04,W,391793,263572,655365
2022-02-05,A,222874,169731,392605
2022-02-06,U,179811,125211,305022
2022-02-07,W,405768,257867,663635
2022-02-08,W,431086,280312,711398
2022-02-09,W,433494,283336,716830
2022-02-10,W,426111,284248,710359
2022-02-11,W,413489,269373,682862
2022-02-12,A,236977,177109,414086
2022-02-13,U,175728,133282,309010
2022-02-14,W,400492,260703,661195
2022-02-15,W,434683,282736,717419
2022-02-16,W,436057,286506,722563
2022-02-17,W,365062,260175,625237
2022-02-18,W,383850,268927,652777
2022-02-19,A,228190,179991,408181
2022-02-20,U,193971,146532,340503
2022-02-21,W,330376,219366,549742
2022-02-22,W,402852,275702,678554
2022-02-23,W,434639,288569,723208
2022-02-24,W,417551,290246,707797
2022-02-25,W,411882,278287,690169
2022-02-26,A,260161,190557,450718
2022-02-27,U,197978,139377,337355
2022-02-28,W,437269,272433,709702
2022-03-01,W,471547,297951,769498
2022-03-02,W,461679,304639,766318
2022-03-03,W,450905,301344,752249
2022-03-04,W,437164,288975,726139
2022-03-05,A,291281,221714,512995
2022-03-06,U,194300,141976,336276
2022-03-07,W,399383,261592,660975
2022-03-08,W,464441,303631,768072
2022-03-09,W,466984,310336,777320
2022-03-10,W,444721,310435,755156
2022-03-11,W,422764,294476,717240
2022-03-12,A,247872,287526,535398
2022-03-13,U,200879,168821,369700
2022-03-14,W,448558,294168,742726
2022-03-15,W,463215,322609,785824
2022-03-16,W,479823,333597,813420
2022-03-17,W,463068,336933,800001
2022-03-18,W,404540,292739,697279
2022-03-19,A,250839,203842,454681
2022-03-20,U,220280,183597,403877
2022-03-21,W,459452,286077,745529
2022-03-22,W,432916,290803,723719
2022-03-23,W,411053,285528,696581
2022-03-24,W,452116,279960,732076
2022-03-25,W,431829,290569,722398
2022-03-26,A,242199,191025,433224
2022-03-27,U,193217,147865,341082
2022-03-28,W,443113,283316,726429
2022-03-29,W,459127,310432,769559
2022-03-30,W,425844,299471,725315
2022-03-31,W,446918,313624,760542
2022-04-01,W,484903,314610,799513
2022-04-02,A,264044,194383,458427
2022-04-03,U,218901,153875,372776
2022-04-04,W,457452,291019,748471
2022-04-05,W,482775,326164,808939
2022-04-06,W,470573,327753,798326
2022-04-07,W,468788,346853,815641
2022-04-08,W,398017,301320,699337
2022-04-09,A,283129,232566,515695
2022-04-10,U,221977,184272,406249
2022-04-11,W,388543,276040,664583
2022-04-12,W,426444,323042,749486
2022-04-13,W,375870,290641,666511
2022-04-14,W,408379,316347,724726
2022-04-15,W,367610,276605,644215
2022-04-16,A,274093,216395,490488
2022-04-17,U,183837,139738,323575
2022-04-18,W,416359,279342,695701
2022-04-19,W,461501,324667,786168
2022-04-20,W,453943,322677,776620
2022-04-21,W,455139,339779,794918
2022-04-22,W,414144,295319,709463
2022-04-23,A,312128,278763,590891
2022-04-24,U,192744,162462,355206
2022-04-25,W,454532,293934,748466
2022-04-26,W,476474,323321,799795
2022-04-27,W,473316,325530,798846
2022-04-28,W,461751,329024,790775
2022-04-29,W,472802,324138,796940
2022-04-30,A,260440,208693,469133
2022-05-01,U,209565,167306,376871
2022-05-02,W,456676,288292,744968
2022-05-03,W,427088,304189,731277
2022-05-04,W,500429,344233,844662
2022-05-05,W,464544,329241,793785
2022-05-06,W,429700,298387,728087
2022-05-07,A,308573,262869,571442
2022-05-08,U,204641,167467,372108
2022-05-09,W,456324,296458,752782
2022-05-10,W,487603,334899,822502
2022-05-11,W,481802,332548,814350
2022-05-12,W,475308,345676,820984
2022-05-13,W,470223,332657,802880
2022-05-14,A,303044,249361,552405
2022-05-15,U,210931,171982,382913
2022-05-16,W,460986,304494,765480
2022-05-17,W,479630,337079,816709
2022-05-18,W,452731,322841,775572
2022-05-19,W,486489,351429,837918
2022-05-20,W,458078,321127,779205
2022-05-21,A,258763,218972,477735
2022-05-22,U,221756,193002,414758
2022-05-23,W,456515,297901,754416
2022-05-24,W,484351,336010,820361
2022-05-25,W,461780,319883,781663
2022-05-26,W,467853,332069,799922
2022-05-27,W,435553,299737,735290
2022-05-28,A,299533,280228,579761
2022-05-29,U,239199,246793,485992
2022-05-30,U,235865,210421,446286
2022-05-31,W,468550,326376,794926
2022-06-01,W,496766,346924,843690
2022-06-02,W,492400,355544,847944
2022-06-03,W,494862,353934,848796
2022-06-04,A,298993,261915,560908
2022-06-05,U,230730,216530,447260
2022-06-06,W,437910,291922,729832
2022-06-07,W,492774,348945,841719
2022-06-08,W,454093,328980,783073
2022-06-09,W,488146,359630,847776
2022-06-10,W,450488,327910,778398
2022-06-11,A,311911,264509,576420
2022-06-12,U,224348,193587,417935
2022-06-13,W,433682,306621,740303
2022-06-14,W,467146,345831,812977
2022-06-15,W,435538,338852,774390
2022-06-16,W,441821,351622,793443
2022-06-17,W,438575,356445,795020
2022-06-18,A,316980,307051,624031
2022-06-19,U,227181,226033,453214
2022-06-20,W,365955,257700,623655
2022-06-21,W,427588,321100,748688
2022-06-22,W,444712,335641,780353
2022-06-23,W,442860,345391,788251
2022-06-24,W,429666,353308,782974
2022-06-25,A,276951,259318,536269
2022-06-26,U,228786,301320,530106
2022-06-27,W,416606,298347,714953
2022-06-28,W,445097,348827,793924
2022-06-29,W,448310,350300,798610
2022-06-30,W,434307,354302,788609
2022-07-01,W,427111,319073,746184
2022-07-02,A,314971,271980,586951
2022-07-03,U,234889,221003,455892
2022-07-04,U,201272,158486,359758
2022-07-05,W,400714,283797,684511
2022-07-06,W,438241,315347,753588
2022-07-07,W,444168,331132,775300
2022-07-08,W,414527,323371,737898
2022-07-09,A,314661,288100,602761
2022-07-10,U,228764,208566,437330
2022-07-11,W,411177,289480,700657
2022-07-12,W,460573,351612,812185
2022-07-13,W,462243,357923,820166
2022-07-14,W,459272,364927,824199
2022-07-15,W,385035,307877,692912
2022-07-16,A,306271,295499,601770
2022-07-17,U,212995,208264,421259
2022-07-18,W,432780,299248,732028
2022-07-19,W,453338,335621,788959
2022-07-20,W,455439,338205,793644
2022-07-21,W,445763,342598,788361
2022-07-22,W,426586,323821,750407
2022-07-23,A,275396,265291,540687
2022-07-24,U,209703,202481,412184
2022-07-25,W,423680,314719,738399
2022-07-26,W,460649,352662,813311
2022-07-27,W,446320,340006,786326
2022-07-28,W,448728,380517,829245
2022-07-29,W,430804,378849,809653
2022-07-30,A,304052,327388,631440
2022-07-31,U,224307,252781,477088
2022-08-01,W,433904,304820,738724
2022-08-02,W,451890,335737,787627
2022-08-03,W,430236,321771,752007
2022-08-04,W,449161,341966,791127
2022-08-05,W,445484,357462,802946
2022-08-06,A,302707,280369,583076
2022-08-07,U,202042,193344,395386
2022-08-08,W,381427,286194,667621
2022-08-09,W,454272,352582,806854
2022-08-10,W,455381,346182,801563
2022-08-11,W,444736,337937,782673
2022-08-12,W,430652,320260,750912
2022-08-13,A,295364,253835,549199
2022-08-14,U,214683,189154,403837
2022-08-15,W,422612,312773,735385
2022-08-16,W,445900,335456,781356
2022-08-17,W,451427,335610,787037
2022-08-18,W,447149,343155,790304
2022-08-19,W,446821,359501,806322
2022-08-20,A,276088,263681,539769
2022-08-21,U,235253,221628,456881
2022-08-22,W,484550,322408,806958
2022-08-23,W,510024,370191,880215
2022-08-24,W,509522,369646,879168
2022-08-25,W,491181,367289,858470
2022-08-26,W,495636,347989,843625
2022-08-27,A,313588,249105,562693
2022-08-28,U,219848,188705,408553
2022-08-29,W,453804,307410,761214
2022-08-30,W,524895,366870,891765
2022-08-31,W,521586,366459,888045
2022-09-01,W,526641,371181,897822
2022-09-02,W,507102,361289,868391
2022-09-03,A,329125,291196,620321
2022-09-04,U,229381,227410,456791
2022-09-05,U,236613,180944,417557
2022-09-06,W,523472,365689,889161
2022-09-07,W,534473,388259,922732
2022-09-08,W,529691,391210,920901
2022-09-09,W,506174,373012,879186
2022-09-10,A,328476,293144,621620
2022-09-11,U,180862,175036,355898
2022-09-12,W,480954,342767,823721
2022-09-13,W,527850,390462,918312
2022-09-14,W,531662,395177,926839
2022-09-15,W,526216,409158,935374
2022-09-16,W,508567,431965,940532
2022-09-17,A,333893,324035,657928
2022-09-18,U,237991,241024,479015
2022-09-19,W,495344,350160,845504
2022-09-20,W,522109,387279,909388
2022-09-21,W,537697,392818,930515
2022-09-22,W,530009,398846,928855
2022-09-23,W,458882,354789,813671
2022-09-24,A,320145,265000,585145
2022-09-25,U,229013,196621,425634
2022-09-26,W,497354,338256,835610
2022-09-27,W,527776,392549,920325
2022-09-28,W,530749,399004,929753
2022-09-29,W,521049,399396,920445
2022-09-30,W,517079,372584,889663
2022-10-01,A,331991,278557,610548
2022-10-02,U,230938,198343,429281
2022-10-03,W,522157,347552,869709
2022-10-04,W,539617,387120,926737
2022-10-05,W,535091,386695,921786
2022-10-06,W,528937,407379,936316
2022-10-07,W,497726,385824,883550
2022-10-08,A,327134,300298,627432
2022-10-09,U,207502,351798,559300
2022-10-10,W,413126,332397,745523
2022-10-11,W,516976,397158,914134
2022-10-12,W,497854,384939,882793
2022-10-13,W,533103,420167,953270
2022-10-14,W,501494,372144,873638
2022-10-15,A,325294,272080,597374
2022-10-16,U,227365,191906,419271
2022-10-17,W,470688,332889,803577
2022-10-18,W,499407,372296,871703
2022-10-19,W,525153,378834,903987
2022-10-20,W,507374,383470,890844
2022-10-21,W,462718,343986,806704
2022-10-22,A,328599,254638,583237
2022-10-23,U,239284,189552,428836
2022-10-24,W,499098,342781,841879
2022-10-25,W,478171,370030,848201
2022-10-26,W,539425,393904,933329
2022-10-27,W,528826,395129,923955
2022-10-28,W,501985,352842,854827
2022-10-29,A,311437,254149,565586
2022-10-30,U,217204,177961,395165
2022-10-31,W,454862,318942,773804
2022-11-01,W,535639,378179,913818
2022-11-02,W,532834,379413,912247
2022-11-03,W,540308,389939,930247
2022-11-04,W,489779,345651,835430
2022-11-05,A,271210,239302,510512
2022-11-06,U,237292,195418,432710
2022-11-07,W,502205,345095,847300
2022-11-08,W,445547,343165,788712
2022-11-09,W,524300,382075,906375
2022-11-10,W,534931,396488,931419
2022-11-11,W,458476,329637,788113
2022-11-12,A,283958,233513,517471
2022-11-13,U,216386,184686,401072
2022-11-14,W,479311,330831,810142
2022-11-15,W,482772,363154,845926
2022-11-16,W,501388,367015,868403
2022-11-17,W,489196,368122,857318
2022-11-18,W,437859,348326,786185
2022-11-19,A,253918,231052,484970
2022-11-20,U,204456,163384,367840
2022-11-21,W,423423,299744,723167
2022-11-22,W,435161,314006,749167
2022-11-23,W,398091,275787,673878
2022-11-24,U,160200,111986,272186
2022-11-25,W,305747,216040,521787
2022-11-26,A,283619,206385,490004
2022-11-27,U,190990,145822,336812
2022-11-28,W,472849,306743,779592
2022-11-29,W,492390,346172,838562
2022-11-30,W,471180,342095,813275
2022-12-01,W,494028,351763,845791
2022-12-02,W,490109,327826,817935
2022-12-03,A,302524,235937,538461
2022-12-04,U,219158,175364,394522
2022-12-05,W,473036,301290,774326
2022-12-06,W,491402,343974,835376
2022-12-07,W,501570,348450,850020
2022-12-08,W,491122,354293,845415
2022-12-09,W,434379,310116,744495
2022-12-10,A,301199,250406,551605
2022-12-11,U,217920,181270,399190
2022-12-12,W,461205,309804,771009
2022-12-13,W,488778,350345,839123
2022-12-14,W,460656,334180,794836
2022-12-15,W,479951,357938,837889
2022-12-16,W,438828,317559,756387
2022-12-17,A,273704,221530,495234
2022-12-18,U,205652,168395,374047
2022-12-19,W,422466,271588,694054
2022-12-20,W,458350,301658,760008
2022-12-21,W,449539,293415,742954
2022-12-22,W,334740,211520,546260
2022-12-23,W,154576,107314,261890
2022-12-24,A,150459,94387,244846
2022-12-25,U,85188,55366,140554
2022-12-26,U,205368,123005,328373
2022-12-27,W,315154,202638,517792
2022-12-28,W,321472,212073,533545
2022-12-29,W,347158,231287,578445
2022-12-30,W,364899,243067,607966
2022-12-31,A,257498,181031,438529
2023-01-01,U,164489,140776,305265
2023-01-02,U,254124,165797,419921
2023-01-03,W,383247,275846,659093
2023-01-04,W,398456,292474,690930
2023-01-05,W,384238,292708,676946
2023-01-06,W,371923,258636,630559
2023-01-07,A,272633,183930,456563
2023-01-08,U,209397,145377,354774
2023-01-09,W,449465,296803,746268
2023-01-10,W,499769,345615,845384
2023-01-11,W,499126,343468,842594
2023-01-12,W,474679,340171,814850
2023-01-13,W,443233,292169,735402
2023-01-14,A,288502,201672,490174
2023-01-15,U,220389,154138,374527
2023-01-16,W,295880,196321,492201
2023-01-17,W,496926,344762,841688
2023-01-18,W,495410,346875,842285
2023-01-19,W,479283,347238,826521
2023-01-20,W,457848,296350,754198
2023-01-21,A,285487,196802,482289
2023-01-22,U,201809,140538,342347
2023-01-23,W,468304,307836,776140
2023-01-24,W,505791,355136,860927
2023-01-25,W,462648,337076,799724
2023-01-26,W,484428,350067,834495
2023-01-27,W,435531,290048,725579
2023-01-28,A,270454,190883,461337
2023-01-29,U,199420,144673,344093
2023-01-30,W,420711,284230,704941
2023-01-31,W,428116,311121,739237
2023-02-01,W,488390,332706,821096
2023-02-02,W,488230,339244,827474
2023-02-03,W,367206,247871,615077
2023-02-04,A,295858,188543,484401
2023-02-05,U,228506,147681,376187
2023-02-06,W,489061,304675,793736
2023-02-07,W,512128,348998,861126
2023-02-08,W,517223,348441,865664
2023-02-09,W,456891,326676,783567
2023-02-10,W,480757,289003,769760
2023-02-11,A,305427,182401,487828
2023-02-12,U,228971,139964,368935
2023-02-13,W,477325,298814,776139
2023-02-14,W,510605,355572,866177
2023-02-15,W,498251,346762,845013
2023-02-16,W,450939,324574,775513
2023-02-17,W,447365,297527,744892
2023-02-18,A,307618,213471,521089
2023-02-19,U,241433,167599,409032
2023-02-20,W,371110,251523,622633
2023-02-21,W,512268,349053,861321
2023-02-22,W,445175,320183,765358
2023-02-23,W,500377,349987,850364
2023-02-24,W,468093,303528,771621
2023-02-25,A,313877,199947,513824
2023-02-26,U,246373,152718,399091
2023-02-27,W,438886,284156,723042
2023-02-28,W,516342,350093,866435
2023-03-01,W,538035,357399,895434
2023-03-02,W,505862,352552,858414
2023-03-03,W,441984,285055,727039
2023-03-04,A,332481,209545,542026
2023-03-05,U,246208,156086,402294
2023-03-06,W,470524,303195,773719
2023-03-07,W,528413,362941,891354
2023-03-08,W,521850,359517,881367
2023-03-09,W,498577,352220,850797
2023-03-10,W,466305,312533,778838
2023-03-11,A,326961,340919,667880
2023-03-12,U,215765,159274,375039
2023-03-13,W,459265,307389,766654
2023-03-14,W,524325,366497,890822
2023-03-15,W,535449,367880,903329
2023-03-16,W,499382,360728,860110
2023-03-17,W,435055,319561,754616
2023-03-18,A,284653,199267,483920
2023-03-19,U,238907,157695,396602
2023-03-20,W,478059,300593,778652
2023-03-21,W,510959,347098,858057
2023-03-22,W,499380,340260,839640
2023-03-23,W,489519,342562,832081
2023-03-24,W,475520,306297,781817
2023-03-25,A,287548,202198,489746
2023-03-26,U,222855,179536,402391
2023-03-27,W,493436,320115,813551
2023-03-28,W,521594,365749,887343
2023-03-29,W,470430,353192,823622
2023-03-30,W,517477,388264,905741
2023-03-31,W,467904,309609,777513
2023-04-01,A,315267,235235,550502
2023-04-02,U,261251,191192,452443
2023-04-03,W,439537,304009,743546
2023-04-04,W,428000,325448,753448
2023-04-05,W,438936,335701,774637
2023-04-06,W,459977,353018,812995
2023-04-07,W,419926,312653,732579
2023-04-08,A,333736,244038,577774
2023-04-09,U,237320,168475,405795
2023-04-10,W,492576,324608,817184
2023-04-11,W,539533,388288,927821
2023-04-12,W,516841,388965,905806
2023-04-13,W,541076,386440,927516
2023-04-14,W,518497,353807,872304
2023-04-15,A,360082,254964,615046
2023-04-16,U,229968,157603,387571
2023-04-17,W,458530,310077,768607
2023-04-18,W,523866,378471,902337
2023-04-19,W,527267,380103,907370
2023-04-20,W,516298,393967,910265
2023-04-21,W,505681,360742,866423
2023-04-22,A,329493,240134,569627
2023-04-23,U,245927,174185,420112
2023-04-24,W,502642,328298,830940
2023-04-25,W,516696,378228,894924
2023-04-26,W,539161,388688,927849
2023-04-27,W,532971,395661,928632
2023-04-28,W,503332,340242,843574
2023-04-29,A,331120,224434,555554
2023-04-30,U,238929,165311,404240
2023-05-01,W,482348,315630,797978
2023-05-02,W,530573,372211,902784
2023-05-03,W,555155,381538,936693
2023-05-04,W,542958,391265,934223
2023-05-05,W,518792,367635,886427
2023-05-06,A,354490,259476,613966
2023-05-07,U,281403,198280,479683
2023-05-08,W,469174,325860,795034
2023-05-09,W,548033,396388,944421
2023-05-10,W,544618,397870,942488
2023-05-11,W,533940,384804,918744
2023-05-12,W,481927,328362,810289
2023-05-13,A,344247,221075,565322
2023-05-14,U,233363,156364,389727
2023-05-15,W,486638,320403,807041
2023-05-16,W,533948,384145,918093
2023-05-17,W,527429,382604,910033
2023-05-18,W,525435,390005,915440
2023-05-19,W,486435,337006,823441
2023-05-20,A,354750,241214,595964
2023-05-21,U,273007,193053,466060
2023-05-22,W,499608,333292,832900
2023-05-23,W,537810,406630,944440
2023-05-24,W,535858,401039,936897
2023-05-25,W,528009,395099,923108
2023-05-26,W,497832,356184,854016
2023-05-27,A,340968,290957,631925
2023-05-28,U,273385,247157,520542
2023-05-29,U,269683,209702,479385
2023-05-30,W,517974,382375,900349
2023-05-31,W,517111,389469,906580
2023-06-01,W,544178,393187,937365
2023-06-02,W,514354,386122,900476
2023-06-03,A,371914,300646,672560
2023-06-04,U,278304,238509,516813
2023-06-05,W,511045,350028,861073
2023-06-06,W,522067,389250,911317
2023-06-07,W,535180,390851,926031
2023-06-08,W,493065,387473,880538
2023-06-09,W,476837,381247,858084
2023-06-10,A,379556,320326,699882
2023-06-11,U,239715,193563,433278
2023-06-12,W,457944,327050,784994
2023-06-13,W,450859,375000,825859
2023-06-14,W,493401,392696,886097
2023-06-15,W,482965,398441,881406
2023-06-16,W,453530,361553,815083
2023-06-17,A,372865,295909,668774
2023-06-18,U,272736,221073,493809
2023-06-19,W,384578,261569,646147
2023-06-20,W,488457,375171,863628
2023-06-21,W,495689,401487,897176
2023-06-22,W,486237,402155,888392
2023-06-23,W,469905,383443,853348
2023-06-24,A,369643,298557,668200
2023-06-25,U,258229,295714,553943
2023-06-26,W,445453,323554,769007
2023-06-27,W,496729,395754,892483
2023-06-28,W,496731,392034,888765
2023-06-29,W,470303,393963,864266
2023-06-30,W,473836,378120,851956
2023-07-01,A,335143,311337,646480
2023-07-02,U,170177,192380,362557
2023-07-03,W,444738,293378,738116
2023-07-04,U,281675,195858,477533
2023-07-05,W,448241,324432,772673
2023-07-06,W,495284,375201,870485
2023-07-07,W,479367,347499,826866
2023-07-08,A,352631,259570,612201
2023-07-09,U,281445,205204,486649
2023-07-10,W,485647,330776,816423
2023-07-11,W,483040,372976,856016
2023-07-12,W,443121,354104,797225
2023-07-13,W,505564,394862,900426
2023-07-14,W,476443,373807,850250
2023-07-15,A,359874,287408,647282
2023-07-16,U,281420,234238,515658
2023-07-17,W,480822,349113,829935
2023-07-18,W,512122,398713,910835
2023-07-19,W,515105,402686,917791
2023-07-20,W,502681,414002,916683
2023-07-21,W,485225,389288,874513
2023-07-22,A,360932,312905,673837
2023-07-23,U,288305,247161,535466
2023-07-24,W,474506,338496,813002
2023-07-25,W,508517,383391,891908
2023-07-26,W,478350,371278,849628
2023-07-27,W,502581,385163,887744
2023-07-28,W,446842,334517,781359
2023-07-29,A,364824,286441,651265
2023-07-30,U,285496,219936,505432
2023-07-31,W,469024,334195,803219
2023-08-01,W,528437,389535,917972
2023-08-02,W,519583,423358,942941
2023-08-03,W,521191,480968,1002159
2023-08-04,W,493321,456039,949360
2023-08-05,A,338701,346075,684776
2023-08-06,U,264872,298188,563060
2023-08-07,W,467465,346627,814092
2023-08-08,W,508824,388916,897740
2023-08-09,W,501770,394563,896333
2023-08-10,W,506343,383545,889888
2023-08-11,W,472150,370307,842457
2023-08-12,A,370464,315090,685554
2023-08-13,U,279218,225085,504303
2023-08-14,W,408865,290559,699424
2023-08-15,W,500013,382517,882530
2023-08-16,W,518485,390193,908678
2023-08-17,W,484256,366327,850583
2023-08-18,W,490626,366654,857280
2023-08-19,A,381458,303336,684794
2023-08-20,U,296344,239159,535503
2023-08-21,W,551302,343866,895168
2023-08-22,W,564653,390141,954794
2023-08-23,W,531763,365111,896874
2023-08-24,W,501750,365055,866805
2023-08-25,W,553276,375055,928331
2023-08-26,A,361538,273589,635127
2023-08-27,U,289983,218533,508516
2023-08-28,W,567171,371199,938370
2023-08-29,W,585643,418817,1004460
2023-08-30,W,589901,420080,1009981
2023-08-31,W,579376,413083,992459
2023-09-01,W,585674,386812,972486
2023-09-02,A,384728,291029,675757
2023-09-03,U,309758,248524,558282
2023-09-04,U,293106,220411,513517
2023-09-05,W,586167,409043,995210
2023-09-06,W,578259,425429,1003688
2023-09-07,W,597711,442432,1040143
2023-09-08,W,555213,397332,952545
2023-09-09,A,385592,323033,708625
2023-09-10,U,297306,247808,545114
2023-09-11,W,504742,356445,861187
2023-09-12,W,603242,432403,1035645
2023-09-13,W,593103,431950,1025053
2023-09-14,W,587439,437320,1024759
2023-09-15,W,566708,432176,998884
2023-09-16,A,352049,340865,692914
2023-09-17,U,252015,219746,471761
2023-09-18,W,560810,382031,942841
2023-09-19,W,555949,432367,988316
2023-09-20,W,599268,447165,1046433
2023-09-21,W,581536,449600,1031136
2023-09-22,W,525718,400937,926655
2023-09-23,A,381816,312772,694588
2023-09-24,U,290336,234578,524914
2023-09-25,W,552311,370891,923202
2023-09-26,W,565172,416619,981791
2023-09-27,W,583749,427267,1011016
2023-09-28,W,597723,437574,1035297
2023-09-29,W,578054,401168,979222
2023-09-30,A,391173,301206,692379
2023-10-01,U,303953,229368,533321
2023-10-02,W,576630,378334,954964
2023-10-03,W,619488,434467,1053955
2023-10-04,W,610623,445787,1056410
2023-10-05,W,584937,447707,1032644
2023-10-06,W,559485,428321,987806
2023-10-07,A,386990,334134,721124
2023-10-08,U,253021,403385,656406
2023-10-09,W,452540,366694,819234
2023-10-10,W,601129,443465,1044594
2023-10-11,W,598019,442594,1040613
2023-10-12,W,567954,433731,1001685
2023-10-13,W,519462,373986,893448
2023-10-14,A,338320,266624,604944
2023-10-15,U,293753,222768,516521
2023-10-16,W,551971,374520,926491
2023-10-17,W,587256,440241,1027497
2023-10-18,W,595182,439266,1034448
2023-10-19,W,579587,433975,1013562
2023-10-20,W,562941,395292,958233
2023-10-21,A,364186,309900,674086
2023-10-22,U,288942,219804,508746
2023-10-23,W,555068,379650,934718
2023-10-24,W,598773,434867,1033640
2023-10-25,W,570560,426962,997522
2023-10-26,W,535013,412606,947619
2023-10-27,W,503840,373004,876844
2023-10-28,A,360484,275006,635490
2023-10-29,U,250473,185823,436296
2023-10-30,W,551840,367453,919293
2023-10-31,W,520069,390110,910179
2023-11-01,W,576336,410084,986420
2023-11-02,W,579094,419780,998874
2023-11-03,W,563943,373412,937355
2023-11-04,A,401704,280222,681926
2023-11-05,U,296526,200577,497103
2023-11-06,W,568672,375471,944143
2023-11-07,W,588549,424318,1012867
2023-11-08,W,578329,422082,1000411
2023-11-09,W,588110,454074,1042184
2023-11-10,W,461731,351382,813113
2023-11-11,A,354671,266284,620955
2023-11-12,U,294251,195035,489286
2023-11-13,W,558320,370511,928831
2023-11-14,W,581009,424128,1005137
2023-11-15,W,587609,422609,1010218
2023-11-16,W,580758,415406,996164
