service_date,day_type,bus,rail_boardings,total_rides
2020-02-18,W,815098,711305,1526403
2020-02-19,W,804097,707598,1511695
2020-02-20,W,778698,700575,1479273
2020-02-21,W,782853,675973,1458826
2020-02-22,A,463771,344117,807888
2020-02-23,U,357784,260505,618289
2020-02-24,W,789498,682036,1471534
2020-02-25,W,781725,693749,1475474
2020-02-26,W,756936,682501,1439437
2020-02-27,W,778992,698886,1477878
2020-02-28,W,786008,665937,1451945
2020-02-29,A,458601,337983,796584
2020-03-01,U,357257,267438,624695
2020-03-02,W,785700,666046,1451746
2020-03-03,W,834640,701777,1536417
2020-03-04,W,815420,699192,1514612
2020-03-05,W,803260,698732,1501992
2020-03-06,W,767084,655010,1422094
2020-03-07,A,455672,366530,822202
2020-03-08,U,343291,269577,612868
2020-03-09,W,736013,647602,1383615
2020-03-10,W,787025,678996,1466021
2020-03-11,W,767610,660739,1428349
2020-03-12,W,737628,601682,1339310
2020-03-13,W,674594,496474,1171068
2020-03-14,A,347925,235841,583766
2020-03-15,U,256591,166575,423166
2020-03-16,W,493179,284844,778023
2020-03-17,W,390091,217294,607385
2020-03-18,W,320242,179316,499558
2020-03-19,W,305501,163013,468514
2020-03-20,W,303882,152797,456679
2020-03-21,A,185406,86695,272101
2020-03-22,U,113282,60490,173772
2020-03-23,W,212121,103992,316113
2020-03-24,W,220319,105312,325631
2020-03-25,W,229414,106913,336327
2020-03-26,W,211746,100860,312606
2020-03-27,W,220715,102714,323429
2020-03-28,A,144561,68572,213133
2020-03-29,U,111188,57736,168924
2020-03-30,W,208762,96996,305758
2020-03-31,W,200537,94709,295246
2020-04-01,W,235503,100042,335545
2020-04-02,W,214222,95183,309405
2020-04-03,W,240528,101015,341543
2020-04-04,A,154302,65727,220029
2020-04-05,U,118701,53173,171874
2020-04-06,W,199323,89714,289037
2020-04-07,W,202629,90824,293453
2020-04-08,W,197789,88894,286683
2020-04-09,W,189898,86725,276623
2020-04-10,W,202934,85608,288542
2020-04-11,A,161743,59808,221551
2020-04-12,U,117907,46243,164150
2020-04-13,W,199679,79074,278753
2020-04-14,W,196277,79616,275893
2020-04-15,W,199545,78844,278389
2020-04-16,W,213862,79764,293626
2020-04-17,W,205280,77935,283215
2020-04-18,A,175887,58347,234234
2020-04-19,U,135539,47512,183051
2020-04-20,W,225938,79017,304955
2020-04-21,W,219120,77886,297006
2020-04-22,W,213080,77822,290902
2020-04-23,W,214131,77918,292049
2020-04-24,W,225498,78966,304464
2020-04-25,A,156179,51764,207943
2020-04-26,U,145023,47350,192373
2020-04-27,W,230903,77830,308733
2020-04-28,W,229831,79284,309115
2020-04-29,W,205453,74942,280395
2020-04-30,W,224948,79783,304731
2020-05-01,W,272700,89139,361839
2020-05-02,A,210617,59142,269759
2020-05-03,U,155791,49160,204951
2020-05-04,W,244960,79706,324666
2020-05-05,W,224885,77485,302370
2020-05-06,W,248434,82526,330960
2020-05-07,W,247597,83941,331538
2020-05-08,W,242402,82107,324509
2020-05-09,A,206907,59372,266279
2020-05-10,U,134047,43773,177820
2020-05-11,W,236521,77650,314171
2020-05-12,W,244938,81217,326155
2020-05-13,W,259169,83529,342698
2020-05-14,W,211894,76152,288046
2020-05-15,W,261148,82454,343602
2020-05-16,A,204433,60144,264577
2020-05-17,U,119698,40451,160149
2020-05-18,W,242568,80822,323390
2020-05-19,W,228412,79752,308164
2020-05-20,W,253916,85596,339512
2020-05-21,W,244336,85164,329500
2020-05-22,W,255894,86436,342330
2020-05-23,A,198708,59164,257872
2020-05-24,U,171095,53281,224376
2020-05-25,U,170039,52921,222960
2020-05-26,W,260758,84940,345698
2020-05-27,W,258713,86518,345231
2020-05-28,W,250675,86579,337254
2020-05-29,W,265087,92565,357652
2020-05-30,A,210004,69848,279852
2020-05-31,U,86503,23544,110047
2020-06-01,W,146931,27517,174448
2020-06-02,W,154414,31544,185958
2020-06-03,W,207502,68423,275925
2020-06-04,W,236590,83605,320195
2020-06-05,W,252137,90734,342871
2020-06-06,A,184406,69622,254028
2020-06-07,U,143697,53232,196929
2020-06-08,W,263520,100516,364036
2020-06-09,W,245154,98717,343871
2020-06-10,W,258523,101685,360208
2020-06-11,W,282597,110709,393306
2020-06-12,W,276051,113656,389707
2020-06-13,A,206386,81727,288113
2020-06-14,U,165299,66384,231683
2020-06-15,W,294517,111956,406473
2020-06-16,W,301881,114566,416447
2020-06-17,W,306380,117798,424178
2020-06-18,W,305028,119506,424534
2020-06-19,W,303502,125162,428664
2020-06-20,A,221620,81634,303254
2020-06-21,U,165913,70884,236797
2020-06-22,W,260524,114622,375146
2020-06-23,W,299680,131100,430780
2020-06-24,W,286680,133015,419695
2020-06-25,W,304522,139288,443810
2020-06-26,W,275240,130402,405642
2020-06-27,A,233358,106092,339450
2020-06-28,U,171693,86966,258659
2020-06-29,W,279383,133291,412674
2020-06-30,W,298563,140782,439345
2020-07-01,W,327984,148683,476667
2020-07-02,W,320859,149071,469930
2020-07-03,U,272940,127079,400019
2020-07-04,A,188378,94601,282979
2020-07-05,U,166998,84977,251975
2020-07-06,W,301317,143054,444371
2020-07-07,W,300508,147310,447818
2020-07-08,W,301892,149845,451737
2020-07-09,W,301260,149971,451231
